age_group,gender,race,education,income,party_id,ideology,voted_2020,ideology_5pt,education_expanded,race_expanded,income_change_2024,vote_intention_2024,name,age,congressional_district,abortion_access,immigration_daca,gun_background_checks,epa_regulations,student_loan_forgiveness,political_typology
30-44,Female,White,Some College,30-60k,Democrat,Very Liberal,Biden,Liberal,HS Grad,White,Increased,"Yes, definitely",Hunter A.,46,MA-07,Support,Support,Oppose,Support,Support,Libertarian Leaning
45-64,Male,Black,HS Grad,30-60k,Independent,Conservative,Trump,Very conservative,2-year,Hispanic,Same,Already voted,Jordan G.,20,MN-07,Support,Oppose,Support,Oppose,Oppose,Left-Liberal
30-44,Female,White,HS Grad,60-100k,Other,Conservative,Biden,Conservative,Postgrad,White,Same,"Yes, definitely",Logan D.,49,TX-03,Support,Support,Support,Oppose,Oppose,Center-Left Moderate
30-44,Female,Hispanic,HS Grad,60-100k,Republican,Conservative,Trump,Conservative,No HS,White,Same,"Yes, definitely",Cameron B.,67,VA-05,Oppose,Oppose,Support,Support,Support,Center-Left Moderate
45-64,Female,White,Some College,100k+,Republican,Liberal,Trump,Moderate,4-year,Hispanic,Decreased,"Yes, definitely",Corey D.,79,NJ-18,Support,Support,Support,Support,Support,Working-Class Independent
18-29,Female,White,College Grad,100k+,Republican,Conservative,Biden,Moderate,HS Grad,Other/Mixed,Increased,"Yes, definitely",Taylor D.,18,NH-02,Support,Oppose,Support,Support,Support,Libertarian Leaning
30-44,Male,White,College Grad,<30k,Other,Moderate,Biden,Very conservative,Postgrad,Hispanic,Same,Plan to vote early,Blake D.,66,MA-01,Support,Support,Support,Support,Oppose,Working-Class Independent
30-44,Male,White,HS Grad,30-60k,Independent,Moderate,Trump,Conservative,Postgrad,Black,Decreased,"Yes, definitely",Jesse L.,24,PA-12,Support,Support,Oppose,Support,Oppose,Populist Right
30-44,Male,White,Postgrad,<30k,Independent,Moderate,Trump,Moderate,Postgrad,White,Same,Undecided,Logan B.,80,NV-14,Oppose,Support,Support,Oppose,Oppose,Center-Left Moderate
65+,Male,White,College Grad,60-100k,Republican,Moderate,Trump,Very conservative,Some College,White,Same,"Yes, definitely",Cameron G.,38,WV-09,Oppose,Support,Support,Support,Support,Working-Class Independent
18-29,Female,Other,Some College,30-60k,Republican,Moderate,Biden,Liberal,4-year,White,Same,"Yes, definitely",Logan G.,69,AK-03,Support,Support,Support,Support,Support,Libertarian Leaning
45-64,Female,White,Some College,100k+,Republican,Conservative,Trump,Moderate,4-year,White,Same,Already voted,Cameron T.,49,VT-18,Oppose,Support,Support,Oppose,Oppose,Left-Liberal
45-64,Male,Hispanic,Some College,30-60k,Democrat,Very Liberal,Biden,Moderate,Some College,White,Decreased,Probably,Corey L.,39,FL-03,Support,Oppose,Support,Oppose,Oppose,Center-Left Moderate
18-29,Female,White,HS Grad,<30k,Democrat,Liberal,Biden,Liberal,4-year,White,Same,"Yes, definitely",Reagan M.,36,OH-01,Oppose,Support,Support,Support,Support,Libertarian Leaning
45-64,Male,Hispanic,Some College,<30k,Independent,Conservative,Biden,Liberal,HS Grad,Black,Decreased,"Yes, definitely",Riley B.,57,MD-18,Support,Support,Support,Support,Oppose,Populist Right
18-29,Male,White,College Grad,60-100k,Republican,Very Conservative,Trump,Conservative,2-year,White,Increased,Already voted,Casey L.,41,TX-10,Support,Support,Support,Support,Oppose,Left-Liberal
18-29,Male,White,No HS,60-100k,Other,Moderate,Trump,Not sure,HS Grad,White,Increased,"Yes, definitely",Skylar J.,29,WA-10,Support,Support,Support,Support,Oppose,Libertarian Leaning
65+,Male,White,HS Grad,<30k,Republican,Moderate,Trump,Moderate,HS Grad,White,Increased,Undecided,Riley B.,78,SD-06,Oppose,Support,Support,Support,Oppose,Libertarian Leaning
65+,Female,White,No HS,<30k,Democrat,Liberal,Biden,Liberal,HS Grad,White,Same,Undecided,Skylar T.,65,MI-02,Support,Support,Support,Support,Oppose,Libertarian Leaning
65+,Male,Black,No HS,60-100k,Other,Moderate,Trump,Liberal,4-year,White,Same,Probably,Logan A.,31,HI-18,Support,Support,Support,Oppose,Oppose,Libertarian Leaning
30-44,Female,White,Postgrad,<30k,Independent,Moderate,Biden,Very liberal,Some College,Hispanic,Decreased,"Yes, definitely",Corey D.,76,WI-08,Support,Support,Support,Support,Support,Working-Class Independent
18-29,Female,White,College Grad,100k+,Democrat,Liberal,Trump,Very conservative,4-year,White,Same,Probably,Jesse J.,22,VT-18,Oppose,Support,Support,Support,Support,Working-Class Independent
45-64,Male,White,Some College,60-100k,Democrat,Liberal,Biden,Very liberal,HS Grad,White,Decreased,"Yes, definitely",Riley L.,77,PA-05,Support,Support,Oppose,Support,Oppose,Working-Class Independent
30-44,Female,White,HS Grad,<30k,Democrat,Moderate,Biden,Moderate,Some College,White,Increased,"Yes, definitely",Avery M.,64,NM-11,Oppose,Support,Support,Support,Support,Center-Left Moderate
18-29,Female,Asian,Some College,<30k,Other,Very Liberal,Biden,Liberal,2-year,Hispanic,Decreased,"Yes, definitely",Jesse S.,73,FL-06,Oppose,Support,Support,Oppose,Support,Libertarian Leaning
45-64,Male,Asian,Some College,100k+,Republican,Moderate,Biden,Moderate,4-year,White,Decreased,"Yes, definitely",Jamie M.,42,NV-02,Support,Support,Support,Oppose,Support,Libertarian Leaning
18-29,Female,Asian,HS Grad,30-60k,Democrat,Liberal,Biden,Liberal,Some College,White,Decreased,Plan to vote early,Jordan S.,31,IA-18,Oppose,Support,Support,Oppose,Support,Center-Left Moderate
65+,Male,White,Some College,30-60k,Independent,Moderate,Biden,Conservative,2-year,White,Decreased,Already voted,Taylor B.,77,OR-04,Support,Support,Support,Support,Oppose,Left-Liberal
30-44,Male,White,Some College,100k+,Democrat,Liberal,Biden,Liberal,Postgrad,White,Decreased,Already voted,Hunter R.,21,FL-18,Oppose,Oppose,Support,Support,Oppose,Left-Liberal
45-64,Male,Asian,Some College,100k+,Republican,Very Conservative,Trump,Very liberal,2-year,Hispanic,Same,"Yes, definitely",Riley B.,61,IL-08,Support,Support,Support,Support,Support,Working-Class Independent
30-44,Female,White,College Grad,100k+,Democrat,Moderate,Biden,Liberal,HS Grad,Black,Increased,"Yes, definitely",Casey A.,57,IL-17,Oppose,Oppose,Support,Support,Support,Populist Right
45-64,Female,Asian,No HS,60-100k,Independent,Conservative,Trump,Very conservative,No HS,White,Increased,"Yes, definitely",Blake J.,74,TX-09,Oppose,Support,Support,Support,Support,Working-Class Independent
45-64,Male,Asian,Some College,30-60k,Republican,Conservative,Trump,Very conservative,Postgrad,Hispanic,Decreased,Undecided,Taylor R.,46,TX-08,Oppose,Support,Support,Oppose,Oppose,Working-Class Independent
18-29,Male,Hispanic,College Grad,<30k,Independent,Moderate,Trump,Moderate,No HS,Hispanic,Same,"Yes, definitely",Taylor G.,63,HI-15,Oppose,Support,Support,Support,Oppose,Populist Right
65+,Female,White,Some College,100k+,Democrat,Very Liberal,Biden,Moderate,Postgrad,Black,Decreased,Plan to vote early,Drew S.,39,IA-14,Support,Oppose,Support,Support,Support,Populist Right
45-64,Male,White,Postgrad,60-100k,Independent,Moderate,Trump,Conservative,Some College,Hispanic,Same,"Yes, definitely",Drew S.,42,KY-05,Support,Support,Support,Support,Oppose,Populist Right
65+,Male,Hispanic,College Grad,30-60k,Republican,Moderate,Trump,Liberal,Postgrad,Black,Increased,"Yes, definitely",Reagan R.,65,VA-16,Oppose,Oppose,Support,Support,Oppose,Populist Right
65+,Female,White,HS Grad,100k+,Republican,Conservative,Biden,Very conservative,4-year,White,Increased,Already voted,Jesse A.,53,MT-18,Support,Oppose,Support,Support,Oppose,Left-Liberal
45-64,Female,White,HS Grad,<30k,Independent,Moderate,Biden,Moderate,Postgrad,White,Same,"Yes, definitely",Jordan S.,18,MD-10,Support,Support,Support,Oppose,Oppose,Center-Left Moderate
65+,Male,White,College Grad,30-60k,Republican,Moderate,Trump,Moderate,Some College,Black,Same,Plan to vote early,Avery D.,43,NE-14,Oppose,Support,Support,Oppose,Support,Populist Right
18-29,Female,Asian,No HS,<30k,Republica,Moderate,Trump,Moderate,4-year,White,Increased,No,Peyton G.,38,NM-14,Oppose,Support,Support,Oppose,Oppose,Left-Liberal
18-29,Female,Black,Some College,30-60k,Republica,Moderate,Trump,Moderate,Some College,Hispanic,Same,"Yes, definitely",Cameron J.,27,FL-01,Oppose,Support,Support,Support,Support,Working-Class Independent
18-29,Male,White,Postgrad,<30k,Independent,Conservative,Trump,Liberal,Some College,Hispanic,Increased,"Yes, definitely",Corey B.,72,WI-04,Support,Oppose,Support,Support,Oppose,Populist Right
30-44,Female,White,Some College,<30k,Republican,Moderate,Trump,Conservative,2-year,White,Same,"Yes, definitely",Emerson B.,83,CT-07,Oppose,Oppose,Support,Support,Oppose,Libertarian Leaning
30-44,Male,White,Some College,<30k,Independent,Moderate,Biden,Moderate,Postgrad,Hispanic,Same,No,Reagan L.,52,WV-13,Support,Support,Support,Support,Oppose,Working-Class Independent
30-44,Female,Other,College Grad,60-100k,Democrat,Conservative,Biden,Moderate,Postgrad,White,Decreased,"Yes, definitely",Skylar M.,31,UT-10,Oppose,Support,Support,Oppose,Oppose,Center-Left Moderate
65+,Female,White,Some College,60-100k,Democrat,Moderate,Biden,Liberal,4-year,White,Same,"Yes, definitely",Skylar M.,39,KY-07,Support,Oppose,Support,Support,Support,Libertarian Leaning
30-44,Female,White,Some College,60-100k,Democrat,Liberal,Biden,Moderate,Some College,Black,Same,Probably,Jamie A.,42,FL-17,Oppose,Support,Support,Support,Support,Populist Right
30-44,Male,Hispanic,Postgrad,100k+,Democrat,Liberal,Biden,Liberal,Some College,White,Increased,Already voted,Reagan T.,51,ND-15,Oppose,Oppose,Oppose,Support,Oppose,Left-Liberal
45-64,Female,Black,Some College,30-60k,Republican,Liberal,Trump,Moderate,4-year,Black,Increased,"Yes, definitely",Blake G.,72,VA-05,Support,Support,Support,Support,Oppose,Populist Right
18-29,Male,Black,Postgrad,30-60k,Republican,Conservative,Trump,Conservative,HS Grad,Hispanic,Same,Already voted,Emerson M.,39,MN-01,Oppose,Support,Support,Oppose,Support,Left-Liberal
65+,Male,Black,Postgrad,100k+,Republican,Moderate,Trump,Liberal,HS Grad,White,Same,No,Peyton S.,81,WV-10,Support,Support,Support,Support,Support,Left-Liberal
18-29,Male,White,HS Grad,<30k,Independent,Liberal,Biden,Moderate,Some College,White,Same,"Yes, definitely",Logan D.,77,RI-04,Oppose,Support,Support,Support,Support,Center-Left Moderate
65+,Female,White,HS Grad,100k+,Republican,Moderate,Trump,Moderate,HS Grad,White,Same,"Yes, definitely",Peyton G.,82,SD-01,Oppose,Support,Support,Support,Oppose,Libertarian Leaning
45-64,Female,Hispanic,HS Grad,<30k,Democrat,Liberal,Biden,Conservative,HS Grad,White,Same,Undecided,Taylor S.,39,VT-07,Support,Support,Support,Support,Oppose,Libertarian Leaning
18-29,Male,Hispanic,No HS,100k+,Republican,Very Conservative,Trump,Very conservative,HS Grad,Other/Mixed,Decreased,"Yes, definitely",Avery M.,72,IN-16,Oppose,Support,Support,Oppose,Support,Working-Class Independent
18-29,Female,Hispanic,HS Grad,<30k,Republican,Moderate,Biden,Conservative,HS Grad,White,Decreased,Plan to vote early,Riley M.,71,ME-08,Oppose,Support,Support,Oppose,Support,Left-Liberal
65+,Male,Asian,College Grad,100k+,Republican,Moderate,Biden,Liberal,No HS,White,Increased,"Yes, definitely",Jesse J.,55,IA-12,Support,Oppose,Support,Oppose,Oppose,Libertarian Leaning
45-64,Female,White,HS Grad,60-100k,Independent,Moderate,Trump,Very liberal,Postgrad,White,Same,"Yes, definitely",Emerson R.,46,NY-14,Support,Support,Support,Oppose,Oppose,Working-Class Independent
45-64,Male,White,HS Grad,100k+,Other,Very Conservative,Biden,Liberal,Some College,White,Increased,Plan to vote early,Reagan A.,29,IA-10,Oppose,Support,Support,Support,Support,Center-Left Moderate
45-64,Female,Hispanic,College Grad,<30k,Democrat,Liberal,Biden,Moderate,Some College,Black,Same,"Yes, definitely",Morgan A.,44,AZ-13,Oppose,Support,Support,Oppose,Oppose,Populist Right
18-29,Male,White,No HS,60-100k,Other,Moderate,Trump,Very liberal,4-year,White,Decreased,"Yes, definitely",Corey L.,50,OK-10,Oppose,Support,Support,Support,Support,Working-Class Independent
30-44,Female,Black,College Grad,100k+,Republican,Very Conservative,Trump,Moderate,HS Grad,Black,Increased,"Yes, definitely",Alex T.,27,MT-03,Oppose,Support,Support,Support,Support,Populist Right
18-29,Male,Hispanic,HS Grad,60-100k,Republica,Conservative,Trump,Moderate,Postgrad,White,Same,"Yes, definitely",Shawn M.,23,ND-02,Support,Support,Support,Oppose,Support,Center-Left Moderate
65+,Male,Hispanic,HS Grad,60-100k,Republican,Conservative,Trump,Moderate,4-year,Other/Mixed,Same,"Yes, definitely",Hunter J.,62,TX-17,Oppose,Support,Support,Support,Oppose,Libertarian Leaning
45-64,Male,White,College Grad,60-100k,Democrat,Liberal,Trump,Conservative,HS Grad,White,Same,"Yes, definitely",Alex B.,27,AK-12,Support,Support,Oppose,Oppose,Oppose,Libertarian Leaning
30-44,Female,White,College Grad,30-60k,Democrat,Liberal,Biden,Very liberal,Some College,White,Same,Undecided,Skylar G.,61,MO-15,Support,Support,Support,Support,Oppose,Working-Class Independent
18-29,Female,White,Postgrad,60-100k,Democrat,Liberal,Biden,Very liberal,Postgrad,Asian,Increased,"Yes, definitely",Cameron M.,18,DE-02,Support,Support,Support,Support,Oppose,Working-Class Independent
30-44,Male,White,College Grad,60-100k,Republican,Very Conservative,Trump,Conservative,Postgrad,White,Same,Probably,Avery G.,30,MS-06,Support,Oppose,Support,Support,Support,Center-Left Moderate
30-44,Female,White,College Grad,100k+,Democrat,Moderate,Trump,Moderate,Some College,Asian,Same,"Yes, definitely",Corey A.,54,VA-11,Support,Support,Support,Oppose,Support,Populist Right
45-64,Female,White,HS Grad,<30k,Democrat,Moderate,Trump,Conservative,2-year,White,Increased,Already voted,Riley G.,59,NC-16,Support,Support,Support,Support,Support,Left-Liberal
45-64,Female,White,HS Grad,30-60k,Democrat,Liberal,Biden,Moderate,HS Grad,White,Same,"Yes, definitely",Taylor L.,69,TN-03,Oppose,Support,Support,Support,Support,Libertarian Leaning
65+,Female,White,College Grad,100k+,Democrat,Moderate,Biden,Liberal,Postgrad,White,Increased,Undecided,Shawn M.,53,NM-01,Support,Support,Support,Support,Oppose,Center-Left Moderate
45-64,Male,White,College Grad,100k+,Democrat,Liberal,Trump,Conservative,HS Grad,Black,Increased,"Yes, definitely",Cameron A.,30,CA-14,Support,Support,Support,Support,Oppose,Populist Right
18-29,Male,White,Postgrad,30-60k,Democrat,Moderate,Biden,Conservative,Postgrad,White,Same,"Yes, definitely",Casey G.,19,IN-11,Support,Support,Support,Support,Support,Center-Left Moderate
45-64,Female,White,Some College,60-100k,Independent,Moderate,Trump,Conservative,4-year,White,Increased,"Yes, definitely",Riley M.,43,ID-08,Support,Oppose,Support,Oppose,Support,Libertarian Leaning
45-64,Female,Hispanic,Some College,30-60k,Democrat,Moderate,Biden,Liberal,2-year,White,Same,"Yes, definitely",Cameron A.,85,ME-16,Support,Support,Support,Support,Oppose,Libertarian Leaning
45-64,Female,White,College Grad,<30k,Republican,Moderate,Trump,Moderate,Some College,White,Same,"Yes, definitely",Jordan B.,76,IL-11,Support,Support,Support,Oppose,Support,Center-Left Moderate
45-64,Male,White,Some College,30-60k,Independent,Liberal,Biden,Moderate,HS Grad,White,Decreased,"Yes, definitely",Taylor L.,72,MO-06,Support,Support,Support,Support,Support,Libertarian Leaning
45-64,Male,White,Postgrad,30-60k,Republican,Moderate,Trump,Very liberal,HS Grad,Hispanic,Increased,Already voted,Taylor B.,37,TX-02,Oppose,Support,Support,Support,Oppose,Left-Liberal
45-64,Female,Black,Postgrad,60-100k,Independent,Moderate,Trump,Very conservative,HS Grad,Other/Mixed,Increased,"Yes, definitely",Peyton B.,47,HI-06,Support,Support,Support,Oppose,Oppose,Working-Class Independent
30-44,Female,White,Some College,<30k,Democrat,Moderate,Biden,Liberal,HS Grad,Other/Mixed,Increased,"Yes, definitely",Shawn T.,55,GA-17,Support,Support,Support,Support,Support,Libertarian Leaning
18-29,Female,White,College Grad,100k+,Democrat,Liberal,Trump,Not sure,4-year,Black,Same,"Yes, definitely",Jamie G.,60,AR-04,Support,Support,Oppose,Support,Support,Populist Right
18-29,Female,White,College Grad,100k+,Democrat,Moderate,Biden,Moderate,Some College,White,Same,Already voted,Jordan R.,44,IA-09,Oppose,Oppose,Support,Support,Oppose,Left-Liberal
